Barreira do Triunfo;2.273;n
Represa;673;n
Benfica;18.111;n
Santa Cruz;15.514;n
Nova Era;7.781;n
Barbosa Lage;12.277;n
Remonta;396;n
Jóquei Clube;4.807;n
Jardim Natal;5.168;n
Industrial;3.107;n
Francisco Bernardino;8.354;n
Carlos Chagas;1.861;n
Cerâmica;3.216;n
São Dimas;200;n
Esplanada;3.073;n
Monte Castelo;5.552;n
Fábrica;4.405;c
Mariano Procópio;2.169;c
Morro da Glória;3.328;c
Santa Catarina;1.801;c
Vale do Ipê;1.557;c
Jardim Glória;3.233;c
Jardim Santa Helena;5.831;c
Jardim Paineiras;3.893;c
Dom Bosco;4.477;c
São Mateus ;18.134;c
Santa Cecília;3.665;c
Mundo Novo ;3.349;c
Alto dos Passos;4.712;c
Boa Vista;1.635;c
Bom Pastor;5.548;c
Ozanan ;1.748;c
Poço Rico;3.336;c
Granbery;4.890;c
Centro;21.426;c
Botanágua;1.347;l
São Bernardo;3.541;l
Cesário Alvim;1.091;l
Vitorino Braga;4.263;l
São Benedito;14.407;l
Grajaú;6.420;l
Linhares;10.755;l
Santa Rita de Cássia;5.448;l
Meggliolário;6.612;l
Manoel Honório;6.374;l
Bonfim;2.742;l
Bairu;4.461;l
Progresso;16.986;l
Centenário;1.220;ne
Santa Terezinha;9.483;ne
Eldorado;6.343;ne
Jardim Bom Clima;651;ne
Bandeirantes;11.073;ne
Granjas Bethânia;3.272;ne
Muçunge da Grama;9.624;ne
Borboleta;5.164;o
Morro do Imperador;748;o
Martelos;4.632;o
São Pedro;10.681;o
Cruzeiro de Santo Antônio;645;o
Nova Califórnia;186;o
Novo Horizonte;1.631;o
Aeroporto;1.149;o
Vila Ideal;5.827;so
Vila Olavo Costa;4.453;so
Vila Furtado de Menezes;2.653;so
Floresta;995;so
Barão do Retiro;7.098;so
Santo Antônio do Paraibuna;8.628;so
Nossa Senhora de Lourdes;7.104;so
Costa Carvalho;7.525;so
Salvaterra;188;s
Sagrado Coração de Jesus;2.070;s
São Geraldo;2.087;s
Santa Efigênia;6.137;s
Ipiranga;14.872;s
Teixeiras;5.197;s
Santa Luzia;13.732;s
Bomba de Fogo;1.784;s
Graminha;2.246;s
Cascatinha;4.671;s
